0,1,117
0,2,9
0,3,80
0,5,1
0,10,15
0,12,17
0,16,2
0,19,1
0,44,9
0,67,1
0,71,2
0,97,1
0,115,1
0,198,1
1,2,31
1,3,82
1,5,8
1,10,14
1,12,26
1,19,5
1,21,8
1,27,1
1,31,3
1,35,1
1,67,2
1,75,2
1,80,1
1,97,2
1,115,2
1,135,1
1,179,1
1,199,1
2,3,5
2,4,2
2,5,6
2,6,2
2,7,2
2,8,2
2,9,1
2,10,18
2,12,1
2,14,2
2,15,7
2,17,8
2,19,7
2,21,1
2,24,2
2,26,1
2,31,1
2,34,2
2,37,3
2,40,1
2,56,2
2,59,1
2,67,1
2,73,1
2,75,1
2,80,1
2,83,1
2,90,2
2,95,1
2,97,2
2,109,1
2,112,1
2,115,1
2,186,1
2,193,1
3,5,5
3,10,8
3,12,39
3,16,2
3,21,5
3,31,4
3,44,1
3,56,1
3,59,1
3,60,1
3,61,1
3,64,1
3,71,2
3,76,1
3,115,1
3,127,1
3,199,1
3,200,1
4,6,12
4,7,6
4,8,56
4,11,15
4,13,2
4,14,17
4,18,6
4,20,6
4,22,3
4,23,3
4,24,2
4,28,1
4,33,5
4,45,15
4,52,1
4,58,1
4,60,1
4,62,1
4,70,1
4,77,2
4,101,1
4,143,1
4,149,2
4,156,2
5,10,2
5,12,3
5,15,17
5,17,4
5,21,1
5,56,1
5,66,2
5,82,1
5,90,2
5,172,1
6,7,5
6,8,7
6,11,1
6,13,4
6,14,23
6,22,13
6,24,6
6,25,22
6,33,1
6,36,1
6,40,1
6,48,7
6,58,9
6,91,3
6,109,2
6,145,1
6,185,1
6,195,1
6,196,1
7,8,4
7,11,2
7,14,10
7,23,2
7,24,11
7,26,14
7,40,2
7,41,1
7,48,1
7,59,1
7,68,1
7,72,1
7,83,1
7,106,1
7,203,1
8,11,15
8,14,7
8,18,4
8,22,1
8,24,2
8,33,2
8,58,1
8,60,1
8,62,1
8,101,1
9,11,1
9,30,1
9,47,1
9,56,2
9,62,1
9,64,1
9,65,1
9,72,2
9,74,1
9,134,1
10,19,1
10,31,2
10,32,1
10,56,2
10,61,2
10,64,1
10,71,1
10,127,1
11,18,3
11,23,1
11,28,1
11,30,2
11,48,1
11,52,1
11,62,1
11,64,1
11,72,2
11,74,2
12,115,2
13,14,1
13,28,1
13,45,2
13,47,3
13,57,1
13,58,2
13,91,2
13,120,1
13,145,2
13,148,2
13,195,1
13,196,1
14,22,5
14,24,4
14,25,5
14,26,3
14,48,1
14,58,2
14,109,1
15,17,5
15,21,2
15,40,1
15,67,1
15,83,1
16,17,3
16,60,1
17,40,1
17,60,1
17,97,1
18,23,3
18,53,3
18,84,1
18,121,1
19,40,2
20,51,8
20,161,1
21,31,2
21,80,1
21,90,1
22,24,5
22,25,1
22,26,4
22,48,2
22,53,1
22,58,4
22,108,1
22,173,1
22,174,1
22,208,1
22,209,1
23,41,3
23,46,1
23,50,2
23,53,4
23,62,3
23,102,1
23,121,3
23,150,1
23,156,2
23,182,1
23,183,1
23,201,1
23,202,1
23,207,1
24,26,9
24,48,7
24,58,2
25,48,2
25,162,1
26,48,2
28,33,1
28,39,2
28,43,1
28,52,1
28,70,1
28,120,1
28,133,2
28,180,1
28,181,1
28,194,1
29,39,1
29,42,7
29,43,3
29,47,5
29,50,1
29,52,7
29,57,2
29,59,1
29,74,2
29,76,1
29,94,1
29,124,2
29,191,1
29,192,1
29,206,1
30,33,1
30,41,1
30,47,1
30,62,2
30,74,4
30,111,2
30,141,2
30,212,1
32,49,1
32,81,2
32,86,2
32,105,2
33,41,1
33,109,1
33,111,1
33,141,1
33,185,1
33,213,1
34,35,1
34,37,4
35,49,4
35,80,1
35,168,1
36,70,2
36,125,2
36,177,1
37,132,1
38,112,1
38,140,1
38,171,1
38,189,1
38,190,1
39,43,2
39,47,1
39,170,1
39,181,1
40,48,1
40,59,1
40,106,1
40,146,1
40,197,1
41,50,1
41,68,1
41,111,1
41,141,1
42,47,1
42,50,1
42,52,3
42,57,1
42,191,1
42,192,1
43,52,3
43,56,1
43,59,1
43,76,1
43,124,2
44,67,1
44,144,2
45,70,1
45,143,1
47,52,1
47,57,2
47,59,1
47,62,1
47,74,1
47,76,1
48,58,2
50,94,1
50,191,1
50,192,1
51,161,1
52,87,1
52,124,2
53,208,1
53,209,1
55,92,1
55,117,1
56,60,1
56,65,2
56,172,1
57,59,1
57,76,1
58,91,1
58,145,1
58,195,1
58,196,1
59,76,3
59,82,1
59,106,1
61,127,2
62,74,2
62,121,2
64,72,1
64,139,2
66,79,2
67,83,3
68,81,1
68,163,1
69,81,1
70,125,2
70,143,1
72,83,1
72,134,1
73,178,1
74,87,1
77,149,2
78,85,1
78,93,1
78,119,1
78,205,1
80,90,1
81,105,2
85,131,2
85,175,1
85,176,1
88,92,1
88,117,1
88,142,1
88,184,1
91,145,2
91,195,1
91,196,1
92,117,2
92,142,1
96,160,1
98,126,1
100,111,1
100,118,1
106,110,1
106,167,1
109,185,1
109,193,1
111,141,2
112,140,1
112,190,1
117,142,1
119,205,1
133,180,1
137,187,1
137,188,1
140,190,1
145,195,1
145,196,1
146,197,1
150,201,1
150,202,1
152,204,1
165,166,1
173,174,1
175,176,1
182,183,1
187,188,1
191,192,1
195,196,1
201,202,1
208,209,1
